method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_p95_abs_error,120,10000,20272729,0.95,0.06693323376521236,0.03678951617543771,0.1087491981150088,0.020830993070214656,0.018833769732041407,0.025826126517611046,0.009525153032658919,0.03638661183987488,0.02686145880721596
estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,position_p95_abs_error,120,10000,20272730,0.95,0.3277183713698881,0.24596392256910335,0.4169126791588537,0.15294352461974053,0.1035790633844284,0.2633989758791572,0.04408872907268305,0.4272300671658363,0.3831413380931532
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,position_p95_abs_error,120,10000,20272731,0.95,0.04676467003765974,0.031447232244161724,0.06614463236665856,0.01979842344589803,0.016657343628655136,0.021713702266452705,0.009757093819252088,0.03376015934744589,0.0240030655281938
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,position_p95_abs_error,120,10000,20272732,0.95,0.04676466997060975,0.03128228326034865,0.0653762659643872,0.019798423445899393,0.016657342529453095,0.021713702265819177,0.009757094050655588,0.03376015811961228,0.02400306406895669
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,position_p95_abs_error,120,10000,20272733,0.95,0.06488163790073662,0.03552430908209732,0.1062512775815942,0.019895688194779583,0.016911785933903984,0.025515087610314794,0.009232912434128422,0.03398137873516778,0.024748466301039357
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,position_p95_abs_error,120,10000,20272734,0.95,0.06488163956516194,0.0352844509877455,0.10619220190921969,0.019895687907947046,0.016911785933907558,0.02551508564496657,0.009232912372373956,0.033981378735258985,0.02474846636288503
estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,position_p95_abs_error,120,10000,20272735,0.95,0.3277988805652647,0.24890813240863963,0.4159405860654503,0.15294352468721154,0.10432505030557865,0.2633989760090467,0.04408872914332215,0.42723006729086827,0.38314133814754614
estimator_rank_3::ca_kf_s1e-06_q100::raw_predicted_pv,position_p95_abs_error,120,10000,20272736,0.95,0.3248488806745079,0.24595939282262497,0.417830458674444,0.14647598300686981,0.09989937701223739,0.2669056620763597,0.04375523078859715,0.42721393119640183,0.38345870040780466
estimator_rank_3::ca_kf_s1e-06_q100::scalar_projected_pva,position_p95_abs_error,120,10000,20272737,0.95,0.0775384615155855,0.04451149962585987,0.12166447051539,0.019895688194779583,0.016911785933903984,0.025515087610314794,0.009232912434128422,0.03398137873516778,0.024748466301039357
jerk_qp_pva_direct,position_p95_abs_error,120,10000,20272738,0.95,0.04771752658186804,0.03219780931825442,0.06613580720321723,0.02064378499932648,0.017339539935112613,0.02293203096747797,0.010303114761662575,0.03575981917221832,0.025456704410555746
jerk_qp_pva_ruckig,position_p95_abs_error,120,10000,20272739,0.95,0.04771752638792528,0.03259514717139252,0.06632960368465408,0.020643784278176487,0.017339536530475395,0.02287080758113913,0.01030311661083219,0.035759819172632,0.025456702561799806
one_step_governed_pva_direct,position_p95_abs_error,120,10000,20272740,0.95,0.06636328996097052,0.036394558195285684,0.10912405369602335,0.020637687154682324,0.019018179854400945,0.02575248564178196,0.0095762733338853,0.036563229128208946,0.02698695579432365
one_step_governed_pva_ruckig,position_p95_abs_error,120,10000,20272741,0.95,0.06636328993703601,0.036756408580505266,0.10807541041119934,0.02063768749277431,0.01901817985480625,0.025898560890605347,0.009576273334921365,0.03656322608199125,0.026986952747069887
predicted_p,position_p95_abs_error,120,10000,20272742,0.95,0.32803536771076947,0.2483647828978164,0.42058127456516836,0.152943702990419,0.103769137548402,0.26339918250378525,0.044088687692940505,0.42723030846492127,0.3831416207719808
raw_predicted_pv,position_p95_abs_error,120,10000,20272743,0.95,0.32502331747714547,0.2455848775214261,0.41712978882852764,0.14647623924981906,0.09989951334048058,0.2669030187264462,0.04375525790546709,0.4272138774006436,0.3834586194951765
