method,total_compute_us
deployed_p_only,151.458
deployed_p_only,151.458
deployed_p_only,151.459
deployed_p_only,151.459
deployed_p_only,151.459
deployed_p_only,151.5
deployed_p_only,151.5
deployed_p_only,151.5
deployed_p_only,151.5
deployed_p_only,151.5
deployed_p_only,151.542
deployed_p_only,151.542
deployed_p_only,151.542
deployed_p_only,151.542
deployed_p_only,151.583
deployed_p_only,151.583
deployed_p_only,151.584
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.625
deployed_p_only,151.666
deployed_p_only,151.667
deployed_p_only,151.667
deployed_p_only,151.667
deployed_p_only,151.667
deployed_p_only,151.667
deployed_p_only,151.708
deployed_p_only,151.708
deployed_p_only,151.708
deployed_p_only,151.708
deployed_p_only,151.708
deployed_p_only,151.709
deployed_p_only,151.75
deployed_p_only,151.75
deployed_p_only,151.75
deployed_p_only,151.791
deployed_p_only,151.791
deployed_p_only,151.792
deployed_p_only,151.792
deployed_p_only,151.833
deployed_p_only,151.833
