method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
ca_kf_s0.0001_q1000,3.407362158017058e-06,0.0,32.64159999999997
ca_kf_s0.0001_q1000,3.4982480861549926e-07,0.0,35.45015
ca_kf_s0.0001_q1000,3.5899021005413334e-06,0.0,33.084
ca_kf_s0.0001_q1000,3.6728916718160015e-06,0.0,31.22044
ca_kf_s0.0001_q1000,3.713369822229531e-07,0.0,32.31575000000001
ca_kf_s0.0001_q1000,3.7312341884681397e-06,0.0,30.85192
ca_kf_s0.0001_q1000,4.2129539950466004e-07,0.0,33.16421999999999
ca_kf_s0.0001_q1000,4.2405248356107933e-07,0.0,35.21356000000001
ca_kf_s0.0001_q1000,4.276714738607599e-07,0.0,31.78218000000001
ca_kf_s0.0001_q1000,4.2963373925037937e-07,0.0,33.11919
ca_kf_s0.0001_q1000,4.3941441177747495e-06,0.0,31.80127
ca_kf_s0.0001_q1000,4.549653662153121e-08,0.0,32.26444
ca_kf_s0.0001_q1000,4.56291618762281e-07,0.0,33.43199999999999
ca_kf_s0.0001_q1000,4.890827488904597e-07,0.0,32.013279999999995
ca_kf_s0.0001_q1000,5.171786356729091e-07,0.0,33.504439999999995
ca_kf_s0.0001_q1000,5.701987071239593e-07,0.0,39.98059999999998
ca_kf_s0.0001_q1000,6.123626022689378e-07,0.0,32.983999999999995
ca_kf_s0.0001_q1000,6.399348832648057e-07,0.0,31.750560000000004
ca_kf_s0.0001_q1000,6.645808493071939e-07,0.0,33.14658
ca_kf_s0.0001_q1000,6.66983634784258e-07,0.0,32.4075
ca_kf_s0.0001_q1000,6.973450001363243e-05,0.0,32.216239999999964
ca_kf_s0.0001_q1000,7.344461361562922e-06,0.0,32.922880000000006
ca_kf_s0.0001_q1000,7.715993697048362e-06,0.0,33.11625
ca_kf_s0.0001_q1000,8.60887741863068e-06,0.0,32.733700000000006
ca_kf_s0.0001_q1000,8.983598359463327e-07,0.0,34.17299999999997
ca_kf_s0.0001_q1000,9.046453387725735e-06,0.0,32.22393999999999
ca_kf_s0.0001_q1000,9.626831953750424e-06,0.0,35.09552999999999
ca_kf_s0.0001_q1000,9.974944546488965e-07,0.0,32.233019999999975
ca_kf_s0.0001_q1000,9.976588422038495e-07,0.0,31.513410000000007
ca_kf_s0.01_q10,0.00015855737335287247,0.0,33.03456
ca_kf_s0.01_q10,0.00017467572548565715,0.0,32.531549999999996
ca_kf_s0.01_q10,0.0001921344659939894,0.0,32.002159999999996
ca_kf_s0.01_q10,0.00028576066245112523,0.0,32.400239999999975
ca_kf_s0.01_q10,0.00036881811728176593,0.0,33.03877999999997
ca_kf_s0.01_q10,0.0003689357389761392,0.0,31.496279999999945
ca_kf_s0.01_q10,0.00040836390458037243,0.0,33.1935
ca_kf_s0.01_q10,0.00045788670759259434,0.0,30.841199999999983
ca_kf_s0.01_q10,0.0005010618927428663,0.0,36.360060000000004
ca_kf_s0.01_q10,0.0006036900710894417,0.0,32.037699999999994
ca_kf_s0.01_q10,0.0006987781576796278,0.0,32.71896000000001
ca_kf_s0.01_q10,0.0007173221578446605,0.0,35.518
ca_kf_s0.01_q10,0.0007399451494918882,0.0,33.10259
ca_kf_s0.01_q10,0.0007544720026569892,0.0,34.37114999999999
ca_kf_s0.01_q10,0.0007837067322855717,0.0,33.00788000000001
ca_kf_s0.01_q10,0.0008000693978431261,0.0,33.393559999999994
ca_kf_s0.01_q10,0.0008083900196448148,0.0,34.352999999999994
ca_kf_s0.01_q10,0.0008511064119026993,0.0,35.876419999999996
ca_kf_s0.01_q10,0.0008695286990239118,0.0,33.65184
ca_kf_s0.01_q10,0.0009004122121910914,0.0,32.583
ca_kf_s0.01_q10,0.0009627980015711494,0.0,33.92143000000002
ca_kf_s0.01_q10,0.001199362819219067,0.0,32.56155999999999
ca_kf_s0.01_q10,0.001293318591595776,0.0,32.469049999999996
ca_kf_s0.01_q10,0.0013361026047260204,0.0,34.322500000000005
ca_kf_s0.01_q10,0.0013398260223860003,0.0,32.49846
ca_kf_s0.01_q10,0.0013907162787390986,0.0,33.44622999999999
ca_kf_s0.01_q10,0.0014899820905783102,0.0,34.860000000000014
ca_kf_s0.01_q10,0.0015735256370844114,0.0,32.343440000000015
ca_kf_s0.01_q10,0.0016287380628679652,0.0,33.94
ca_kf_s0.01_q10,0.0019725943974264336,0.0,31.10286
ca_kf_s0.01_q10,0.002200883225799358,0.0,32.042
ca_kf_s0.01_q10,0.0022714664822472853,0.0,32.76659999999999
ca_kf_s0.01_q10,0.002365824833342384,0.0,32.41781000000001
ca_kf_s0.01_q10,0.0024659153993338958,0.0,33.043040000000005
ca_kf_s0.01_q10,0.002474538932965513,0.0,33.33375
ca_kf_s0.01_q10,0.0024827953452874092,0.0,34.49832
ca_kf_s0.01_q10,0.002522926160996069,0.0,36.08267
ca_kf_s0.01_q10,0.0029637163339182033,0.0,34.176999999999964
ca_kf_s0.01_q10,0.0030305499769302897,0.0,35.63928
ca_kf_s0.01_q10,0.003190755585162853,0.0,32.36147999999998
ca_kf_s0.01_q10,0.0033252008228468956,0.0,32.95383999999999
ca_kf_s0.01_q10,0.0046260922075933904,0.0,31.753460000000004
ca_kf_s0.01_q10,0.004660383503482659,0.0,31.74358000000001
ca_kf_s0.01_q10,0.005125393114254641,0.0,34.37556
ca_kf_s0.01_q10,0.005287025253980577,0.0,33.58008
ca_kf_s0.01_q10,0.005666095662184481,0.0,35.19996
ca_kf_s0.01_q10,0.005908289189651858,0.0,35.03656
ca_kf_s0.01_q10,0.005953226244021255,0.0,33.108000000000004
ca_kf_s0.01_q10,0.006411117643767691,0.0,32.48438999999999
ca_kf_s0.01_q10,0.006436572631793253,0.0,32.5625
ca_kf_s0.01_q10,0.006469573558677394,0.0,32.582019999999964
ca_kf_s0.01_q10,0.006678349611725775,0.0,31.260529999999985
ca_kf_s0.01_q10,0.008485735497009034,0.0,33.09485999999999
ca_kf_s0.01_q10,0.008936796526303083,0.0,32.18443
ca_kf_s0.01_q10,0.009167492492801011,0.0,33.985440000000004
ca_kf_s0.01_q10,0.010463703301248174,0.0,33.5845
ca_kf_s0.01_q10,0.011164029763546053,0.0,33.227749999999986
ca_kf_s0.01_q10,0.020506428993643487,0.0,32.14123999999999
ca_kf_s0.01_q10,8.965359341651885e-05,0.0,34.94452
ca_kf_s0.01_q10,9.999252103029257e-05,0.0,32.268640000000005
ca_kf_s0.01_q100,0.00010915901672214418,0.0,34.27675999999999
ca_kf_s0.01_q100,0.0001141152980094923,0.0,32.182759999999966
ca_kf_s0.01_q100,0.00012200312369668236,0.0,34.50384999999998
ca_kf_s0.01_q100,0.00013458536809064894,0.0,33.92921
ca_kf_s0.01_q100,0.00014924138880703379,0.0,33.39181
ca_kf_s0.01_q100,0.00021354161804062143,0.0,32.724680000000006
ca_kf_s0.01_q100,0.00022377385702170791,0.0,33.054049999999975
ca_kf_s0.01_q100,0.0002451697748510053,0.0,32.808080000000004
ca_kf_s0.01_q100,0.0002572604505303271,0.0,33.21693999999997
ca_kf_s0.01_q100,0.00025730662477762125,0.0,33.62325000000001
ca_kf_s0.01_q100,0.00027828678683381955,0.0,32.41632
ca_kf_s0.01_q100,0.0002783867756369562,0.0,33.21316000000001
ca_kf_s0.01_q100,0.00028459079677030163,0.0,33.34728
ca_kf_s0.01_q100,0.00028629325893003965,0.0,33.287130000000005
ca_kf_s0.01_q100,0.0002965574900131703,0.0,33.466219999999964
ca_kf_s0.01_q100,0.00029793028381093094,0.0,33.362500000000026
ca_kf_s0.01_q100,0.0003212793766958614,0.0,32.32479999999998
ca_kf_s0.01_q100,0.000385300826048922,0.0,32.0894
